Investigator name: Bridger Huhn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact information: bhuhn@uwyo.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site name in full: GreenHouseWilliamsConservatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetation type: Green House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil type: Sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major species: Penstemon haydenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample leaf light environment: High Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water stress assessment:None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument used: Licor-6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra info: GreenHouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent,,,,,,,,,,,,,
4,11:07:22,1823.000488,8.569483267,8.569483267,0.329423735,147.3662165,8.670641718,2.069155912,0.975000024,1,12.06775695,26.50487328,23.98960686,26.56937027,200.7341156,197.389801,8.985319138,11.77260017,20.28527069,26.57784081,299.7312317,701.592041,960.7825317,78.4830246,NA,NA,0.75,111115,0.48897683,-9999,18_ACi
5,11:10:02,1983.000488,15.67865311,15.67865311,0.342158911,208.0807795,9.02254854,2.076000333,0.975000024,1,12.06775695,25.25052071,23.82253838,24.81274223,299.9895935,294.0264587,8.402647018,11.30445004,20.43255234,27.48880959,299.7288208,701.2195435,991.6181641,78.48199463,NA,NA,0.25,111115,0.520504174,-9999,18_ACi
6,11:12:35,2136.000488,26.57826216,26.57826216,0.350512079,347.7314924,9.404683496,2.113739194,0.975000024,1,12.06775695,26.00237083,23.94935989,25.7899456,500.6578674,490.5123291,8.087189674,11.11223412,18.8079567,25.84314728,299.7533569,700.9161987,1025.45752,78.48438263,NA,NA,0.5,111115,0.540655698,-9999,18_ACi
7,11:15:32,2313.000488,30.0547118,30.0547118,0.354067891,428.4401216,9.364599521,2.084168694,0.975000024,1,12.06775695,25.59438515,23.89226723,25.20140839,601.3239746,589.7515869,8.346674919,11.35812569,19.88744354,27.06276512,299.7485352,701.0700073,1062.324829,78.48817444,NA,NA,0.75,111115,0.559026137,-9999,18_ACi
8,11:18:09,2470.000488,35.33486947,35.33486947,0.347591382,588.581862,9.282715971,2.102774843,0.975000024,1,12.06775695,25.90709496,24.09129524,25.59403992,799.1849976,785.3203125,8.591751099,11.57621384,20.09686852,27.07779312,299.748291,700.8279419,404.5990906,78.49404144,NA,NA,0.5,111115,0.563191144,-9999,18_ACi
9,11:20:49,2630.000488,38.61095129,38.61095129,0.343829814,763.3321074,8.997085846,2.060035618,0.975000024,1,12.06775695,25.13397217,23.92493057,24.61395836,1000.319397,984.8796997,8.847056389,11.73890018,21.6669426,28.74923134,299.7804871,700.6268311,405.1248779,78.49626923,NA,NA,0.5,111115,0.567407345,-9999,18_ACi
10,11:23:28,2789.000488,41.17752957,41.17752957,0.332001072,982.1734023,8.734560287,2.068757919,0.975000024,1,12.06775695,25.53926849,24.05782127,25.20103264,1249.91272,1233.014893,9.124433517,11.93177509,21.8149128,28.52676964,299.7349243,700.5565186,408.0091858,78.49920654,NA,NA,0.5,111115,0.564527134,-9999,18_ACi
11,11:26:53,2994.000488,42.93737824,42.93737824,0.327367164,1209.790877,8.568961596,2.058329197,0.975000024,1,12.06775695,25.13176346,23.86410713,24.80356216,1500.300049,1482.201416,8.866345406,11.62135696,21.71825409,28.4666996,299.7317505,700.631958,404.8564758,78.50065613,NA,NA,0.25,111115,0.568369149,-9999,18_ACi
12,11:29:38,3159.000488,47.81318259,47.81318259,0.31950868,1656.09444,8.320730163,2.046221455,0.975000024,1,12.06775695,25.01659203,23.90416145,24.60919952,1999.298828,1978.392822,9.192486763,11.86676693,22.67232704,29.26816368,299.7606812,700.2246704,416.4586487,78.50109863,NA,NA,0.5,111115,0.563096998,-9999,18_ACi
13,11:43:05,3969.000488,7673.632537,7673.632537,-0.462047889,25514.39891,-18.95939637,3.025944567,0.560000002,1,13.19252338,25.18987274,27.06149864,25.0135231,2000.797119,569.2468262,10.72875214,7.212356567,26.18894386,17.60540199,299.7582703,684.6599731,583.039917,78.49907684,NA,NA,0,111115,0.563096998,-9999,18_ACi
