Investigator name: Bridger Huhn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contact information: bhuhn@uwyo.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Site name in full: GreenHouseWilliamsConservatory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vegetation type: Green House,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Soil type: Sand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Major species: Penstemon haydenii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sample leaf light environment: High Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Water stress assessment:None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument used: Licor-6400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extra info: GreenHouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SiteID,Latitude(Degrees),Longitude(Degrees),Elevation,SampleYear,SampleDayOfYear,GrowSeasonStart,GrowSeasonEnd,StandAge,CanopyHeight,LeafAreaIndex,SpeciesSampled,AveTimeResolution,SampleHeight,LeafAge,SpecificLeafArea,LfNitrogenContent,LfCarbonContent,LfPhosphContent,,,,,,,,,,,,,
29,12:50:07,7988.500488,1.786407107,1.786407107,0.159749295,170.4660606,6.135319353,2.959997826,0.455000013,1,13.47710279,26.67509079,28.14176369,26.33124542,200.4964294,200.0389709,10.11277866,11.03379822,22.61198997,24.67137337,299.7513733,700.7720947,556.3686523,78.5148468,NA,NA,0.25,111115,0.475391441,-9999,24_ACi
30,12:53:30,8191.500488,10.71876221,10.71876221,0.187751178,190.357376,7.224473613,2.970577138,0.455000013,1,13.47710279,26.8697052,28.22555923,26.51557159,299.9577332,298.0040283,10.05528069,11.13961887,22.22299194,24.61946678,299.7697754,700.9480591,374.3025513,78.49903107,NA,NA,0.25,111115,0.525390708,-9999,24_ACi
31,12:56:47,8388.5,24.71541897,24.71541897,0.214600078,285.3010948,8.127325718,2.930122302,0.455000013,1,13.47710279,26.92152023,28.05507469,26.62096977,500.4450073,496.0817566,9.951366425,11.17115021,21.92629814,24.61390305,299.7763367,701.2904053,1108.609619,78.49848938,NA,NA,0.5,111115,0.587063011,-9999,24_ACi
32,12:59:25,8546.5,30.47225088,30.47225088,0.229071489,350.4692556,8.532961002,2.885987599,0.455000013,1,13.47710279,26.85967445,27.8383007,26.584095,600.3877563,594.9919434,9.843558311,11.12431717,21.76736832,24.59955025,299.768158,701.600708,1122.03064,78.49710846,NA,NA,0.5,111115,0.605152068,-9999,24_ACi
33,13:02:31,8732.5,40.56608145,40.56608145,0.239565511,478.1508688,8.857006006,2.867025103,0.455000013,1,13.47710279,26.82663727,27.72710037,26.56485176,798.5457153,791.3242188,9.726723671,11.0562849,21.55015945,24.49588776,299.7516479,701.2937012,1119.976929,78.49466705,NA,NA,0.5,111115,0.621974369,-9999,24_ACi
34,13:05:13,8894.5,47.42659424,47.42659424,0.238476876,620.680155,8.835727913,2.873051291,0.455000013,1,13.47710279,26.85013199,27.71914101,26.58712006,1000.759766,992.2297974,9.631210327,10.95774078,21.30841255,24.24327278,299.7445984,701.394104,1142.819824,78.4921875,NA,NA,0.75,111115,0.62563463,-9999,24_ACi
35,13:07:46,9047.5,55.00913306,55.00913306,0.227243431,786.8836402,8.468805836,2.888291439,0.455000013,1,13.47710279,26.8749752,27.71545792,26.60276413,1251.071289,1241.125854,9.479969025,10.75164795,20.94649696,23.75634003,299.7515564,698.2727051,1160.170044,78.5045929,NA,NA,0.75,111115,0.625497502,-9999,24_ACi
36,13:11:17,9258,58.77662241,58.77662241,0.206436039,955.1272433,7.622999923,2.85935788,0.455000013,1,13.47710279,26.69188499,27.39741516,26.47496033,1500.475098,1489.829956,9.099511147,10.2447052,20.32214546,22.87973595,299.7685547,699.0101318,1152.834839,78.49904633,NA,NA,0.25,111115,0.626976569,-9999,24_ACi
37,13:14:33,9454.5,66.28322646,66.28322646,0.192773938,1331.227175,7.22290543,2.89893841,0.455000013,1,13.47710279,26.63744926,27.42315483,26.40881538,2001.085327,1988.844482,8.725343704,9.810882568,19.54906273,21.98120499,299.7754822,698.0606079,1143.312622,78.49902344,NA,NA,0.75,111115,0.626732058,-9999,24_ACi
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
