Datum ID,Repeat,Plant ID,light_intensity,r,g,b,w,temperature,humidity,pressure,temperature2,humidity2,pressure2,contactless_temp,thickness,compass_direction,compass,angle,pitch,roll,time,Phi2_2000,PhiNPQ_2000,NPQt_2000,PhiNO_2000,qL_2000,FvP/Fm_2000_P,qP_2000,Phi2_1500,PhiNPQ_1500,NPQt_1500,PhiNO_1500,qL_1500,FvP/Fm_1500_P,qP_1500,Fm_2000_Prime,Fs_2000,Fo_2000_Prime,RFd,MPF_slope_2000,MPF_rsquared_2000,baseline,Light Intensity (PAR),Leaf Temp Differential,Ambient Temperature,Ambient Humidity,Leaf Angle,Fm_1500_Prime,Fs_1500,Fo_1500_Prime,MPF_slope_1500,MPF_rsquared_1500,order,Phi2_1000,PhiNPQ_1000,NPQt_1000,PhiNO_1000,qL_1000,FvP/Fm_1000_P,qP_1000,Fm_1000_Prime,Fs_1000,Fo_1000_Prime,MPF_slope_1000,MPF_rsquared_1000,Phi2_500,PhiNPQ_500,NPQt_500,PhiNO_500,qL_500,FvP/Fm_500_P,qP_500,Fm_500_Prime,Fs_500,Fo_500_Prime,MPF_slope_500,MPF_rsquared_500,Phi2_250,PhiNPQ_250,NPQt_250,PhiNO_250,qL_250,FvP/Fm_250_P,qP_250,Fm_250_Prime,Fs_250,Fo_250_Prime,MPF_slope_250,MPF_rsquared_250,LEF,messages,PhiNPQ_2000_MPF,npqt_2000_MPF,PhiNPQ_1500_MPF,npqt_1500_MPF,PhiNPQ_1000_MPF,npqt_1000_MPF,PhiNPQ_500_MPF,npqt_500_MPF,PhiNPQ_250_MPF,npqt_250_MPF,User,Device ID,Status,Notes,Latitude,Longitude
2714792,1,42,0,0.4,0.4,0.4,0.4,21,29.59277,771.84393,20.91,35.96094,772.31781,21.33,0.54,NW,48.99,11.336,-11.02,2.69,1/6/22,0.193,0.538,2,0.269,0.147,0.619,0.312,0.244,0.563,2.931,0.192,0.26,0.554,0.441,578.924,467,220,1.885,-226920.359,-0.993,0,0,0.33,21,29.59277,11.336,468.483,354,209,-184811.601,-0.962,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.35,0.483,2.899,0.167,0.431,0.556,0.63,475.105,308.7,211,-232979.399,-0.991,0.554,0.251,1.293,0.194,0.584,0.68,0.815,716.941,319.7,229,-574765.335,-0.998,0.653,0.138,0.659,0.209,0.641,0.746,0.876,961.776,333.3,244,-785143.572,-0.998,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31266931,-105.5849632
2714791,1,26,0,0.2,0.2,0.2,0.2,21.29,29.00098,771.70392,20.97,36.94629,772.17456,21.91,1,SE,225.34,7.603,-6.71,3.58,1/6/22,0.212,0.567,2.561,0.221,0.196,0.578,0.366,0.267,0.574,3.61,0.159,0.345,0.514,0.52,879.427,693.3,371,1.915,-355854.414,-0.995,0,0,0.62,21.29,29.00098,7.603,731.998,536.3,356,-298447.002,-0.998,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.398,0.444,2.822,0.157,0.519,0.561,0.711,835.653,502.7,367,-480252.043,-0.996,0.602,0.201,1.025,0.196,0.628,0.707,0.852,1370.603,545.3,402,-1308561.745,-1,0.657,0.147,0.748,0.196,0.686,0.736,0.892,1565.114,537,413,-1500945.333,-0.999,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31265494,-105.5849786
2714790,1,34,0.072,1,0.2,0.2,1,21.42,29.5625,771.74341,21.72,36.61621,772.22595,21.61,0.97,E ,250.41,18.737,-16.05,-9.8,1/6/22,0.213,0.556,2.408,0.231,0.188,0.589,0.361,0.27,0.569,3.522,0.161,0.342,0.519,0.52,1050.673,827.3,432,1.994,-434394.752,-0.995,0,0.072,0.19,21.42,29.5625,18.737,867.394,633.3,417,-375515.479,-0.991,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.373,0.471,3.02,0.156,0.49,0.548,0.68,954.191,598.3,431,-494852.227,-0.995,0.607,0.18,0.843,0.214,0.582,0.726,0.836,1729.291,680.3,474,-1888066.521,-0.993,0.666,0.119,0.554,0.215,0.635,0.758,0.878,2013.873,672.7,486,-2357662.677,-0.987,0.022,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31264879,-105.5850038
2714789,1,18,0,1,0.2,0.2,0.2,21.8,29.83105,771.75031,21.76,37.87891,772.25439,22.33,0.85,E ,272.01,13.573,-13.42,2.05,1/6/22,0.201,0.569,2.472,0.23,0.179,0.584,0.343,0.243,0.587,3.453,0.17,0.293,0.523,0.465,936.206,748.3,389,1.905,-378748.015,-0.99,0,0,0.53,21.8,29.83105,13.573,787.182,595.7,376,-294465.243,-0.959,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.317,0.53,3.468,0.153,0.425,0.522,0.607,813.418,555.7,389,-281989.469,-0.96,0.562,0.239,1.197,0.199,0.577,0.69,0.815,1375.39,602.7,427,-1231794.165,-0.994,0.656,0.131,0.618,0.213,0.632,0.751,0.873,1795.314,618,447,-2026941.075,-0.987,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31261161,-105.5850259
2714788,1,3,0,0.4,0.4,0.4,0.4,22.14,29.54199,771.6676,21.81,38.00977,772.1189,22.81,1.05,SE,247.03,14.482,-13.65,4.88,1/6/22,0.222,0.583,2.99,0.195,0.234,0.55,0.404,0.269,0.577,3.752,0.154,0.358,0.507,0.531,958.12,745,431,1.93,-409168.892,-0.988,0,0,0.67,22.14,29.54199,14.482,858.572,627.7,424,-359142.537,-0.961,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.37,0.475,3.068,0.155,0.489,0.545,0.678,961.259,605.7,437,-467941.823,-0.976,0.58,0.21,1.002,0.21,0.566,0.709,0.818,1634.705,687,476,-1710617.85,-0.998,0.659,0.119,0.536,0.222,0.608,0.761,0.866,2066.533,705.3,495,-2521195.132,-0.995,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31263149,-105.5850075
2714787,1,23,0,0.8,0.8,0.8,0.8,22.46,30.07227,771.7981,22.38,38.1748,772.22357,22.23,0.97,SE,243.57,12.729,-11.42,5.65,1/6/22,0.181,0.629,3.315,0.19,0.196,0.531,0.342,0.21,0.655,4.878,0.134,0.321,0.454,0.464,1250.814,1024,587,1.684,-422007.193,-0.989,0,0,-0.23,22.46,30.07227,12.729,1037.693,819.3,567,-217859.593,-0.835,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.269,0.603,4.727,0.128,0.432,0.46,0.585,1095.347,800.7,591,-129677.236,-0.547,0.515,0.311,1.793,0.173,0.609,0.636,0.81,1796.236,870.3,654,-1347584.187,-0.996,0.627,0.18,0.936,0.192,0.668,0.716,0.876,2432.023,906,691,-2426499.367,-0.992,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31262997,-105.5849634
2714786,1,19,0,1,1,1,1,22.77,28.62305,771.89471,22.69,35.34082,772.36298,23.29,1.07,SE,203.84,15.604,-15.52,-1.6,1/6/22,0.218,0.58,2.866,0.202,0.22,0.558,0.39,0.276,0.566,3.58,0.158,0.358,0.516,0.535,583.639,456.7,258,1.861,-221675.797,-0.949,0,0,0.52,22.77,28.62305,15.604,529.175,383,256,-232013.868,-0.962,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.397,0.441,2.726,0.162,0.502,0.567,0.7,619.049,373.3,268,-375208.54,-0.996,0.596,0.203,1.012,0.201,0.609,0.708,0.842,994.619,401.7,290,-1043234.032,-0.992,0.65,0.151,0.762,0.198,0.672,0.735,0.885,1116.74,390.3,296,-1154371.619,-0.996,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31260167,-105.5850722
2714785,1,41,0.452,4,1,1.8,4.8,22.88,29,771.91156,22.07,39.25781,772.32172,23.53,0.69,N ,339.96,23.604,-23.58,1.18,1/6/22,0.141,0.761,7.812,0.097,0.298,0.356,0.397,0.18,0.74,9.32,0.079,0.465,0.321,0.562,809.525,695,521,0.717,-167459.834,-0.917,0,0.452,0.65,22.88,29,23.604,768.25,629.7,522,-160657.613,-0.912,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.255,0.65,6.82,0.095,0.549,0.384,0.664,940.324,700.3,579,-227485.902,-0.869,0.39,0.492,4.173,0.118,0.677,0.485,0.803,1284.597,784,661,-692997.583,-0.999,0.417,0.47,4.163,0.113,0.758,0.486,0.859,1318.423,768,678,-537404.477,-0.945,0.085,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31260595,-105.5850657
2714784,1,5,0,0.8,0.8,0.8,0.8,22.85,28.26855,771.91907,22.8,36.64648,772.35956,23.67,1.32,S ,180.15,16.15,-14.84,6.45,1/6/22,0.235,0.543,2.443,0.222,0.216,0.586,0.4,0.285,0.554,3.431,0.161,0.362,0.524,0.544,1363.377,1043.3,564,1.755,-643524.686,-0.998,0,0,0.82,22.85,28.26855,16.15,1157.844,827.7,551,-506207.791,-0.991,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.403,0.433,2.653,0.163,0.506,0.572,0.705,1338.52,798.7,573,-768864.887,-0.997,0.586,0.209,1.015,0.206,0.583,0.708,0.827,2117.423,877.7,619,-2105957.533,-0.992,0.637,0.162,0.805,0.201,0.649,0.73,0.873,2331.665,846.3,630,-2315176.89,-0.996,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31270461,-105.5850271
2714783,1,2,0,1,1,1,1,22.97,28.69336,771.96564,22.06,40.59766,772.41498,22.33,1.11,S ,195.27,16.823,-16.75,-1.61,1/6/22,0.214,0.58,2.814,0.206,0.213,0.561,0.381,0.256,0.594,3.956,0.15,0.349,0.496,0.515,1583.444,1244.7,695,1.617,-679999.77,-0.997,0,0,-0.64,22.97,28.69336,16.823,1339.633,997.3,675,-517315.629,-0.993,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.346,0.51,3.554,0.144,0.494,0.517,0.669,1458.464,953.7,704,-581192.945,-0.977,0.573,0.229,1.151,0.198,0.592,0.694,0.826,2532.339,1081.3,775,-2450105.939,-0.989,0.618,0.191,0.996,0.191,0.661,0.71,0.871,2723.183,1040.7,790,-2488664.346,-0.994,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31266597,-105.5850041
2714782,1,34,0,0,0,0,0,17.63,29.39258,776.34296,19.17,36.83105,776.81311,19.39,1.16,SE,233.34,15.406,-14.42,-5.49,1/8/22,0.247,0.47,1.661,0.283,0.178,0.647,0.381,0.289,0.511,2.565,0.199,0.297,0.578,0.501,461.913,348,163,2.098,-241990.62,-0.992,0,0,1.76,17.63,29.39258,15.406,370.988,263.7,157,-159803.257,-0.993,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.416,0.394,2.074,0.19,0.448,0.614,0.678,417.62,244,161,-267928.243,-1,0.626,0.145,0.631,0.23,0.558,0.75,0.835,711.404,266.3,178,-850816.607,-0.997,0.677,0.092,0.402,0.23,0.602,0.777,0.872,802.27,259,179,-1026004.316,-0.994,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31263211,-105.5851061
2714781,1,10,0,1,1,1,1,19.41,29.52148,776.54565,22.28,33.92871,776.95642,21.71,0.95,NE,319.34,8.31,-2.86,7.81,1/8/22,0.192,0.533,1.94,0.275,0.143,0.624,0.308,0.26,0.547,2.838,0.193,0.277,0.56,0.465,484.059,391,182,2.001,-190499.655,-0.998,0,0,2.3,19.41,29.52148,8.31,398.435,294.7,175,-177298.826,-0.998,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.379,0.439,2.405,0.183,0.425,0.589,0.643,451.601,280.7,186,-272082.806,-0.998,0.589,0.194,0.895,0.217,0.557,0.72,0.818,725.798,298,203,-720036.08,-1,0.667,0.107,0.473,0.226,0.604,0.768,0.868,918.453,306,213,-959073.311,-0.998,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31261362,-105.585006
2714780,1,31,0,1,1,1,1,21,26.55859,776.81482,23.56,31.42383,777.23029,22.71,0.85,SE,245.79,7.981,-2.41,-7.61,1/8/22,0.164,0.541,1.835,0.295,0.114,0.633,0.26,0.221,0.571,2.737,0.208,0.217,0.566,0.39,715.672,598,263,1.776,-266398.377,-0.995,0,0,1.71,21,26.55859,7.981,592.573,461.7,257,-228732.996,-0.992,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.327,0.481,2.506,0.192,0.349,0.582,0.562,627.646,422.3,262,-327056.451,-0.998,0.527,0.265,1.274,0.208,0.52,0.682,0.773,883.907,417.7,281,-710137.875,-0.994,0.64,0.121,0.507,0.239,0.549,0.764,0.837,1289.006,464.3,304,-967127.46,-0.999,,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31267984,-105.5850295
2714779,1,43,0.078,1.8,0.8,0.8,1.8,22.3,26.1377,776.91315,24.04,31.94629,777.33716,24.47,0.73,S ,184.21,11.631,-10.31,5.42,1/8/22,0.295,0.577,4.487,0.128,0.47,0.471,0.627,0.26,0.626,5.509,0.114,0.47,0.428,0.608,95.982,67.7,51,0.77,-72613.016,-0.963,0,0.078,2.17,22.3,26.1377,11.631,89.233,66,51,-52759.811,-0.961,"[""Phi2_250"", ""PhiNPQ_250"", ""PhiNO_250"", ""Leaf Temp Differential"", ""Leaf Angle"", ""Light Intensity (PAR)"", ""Ambient Temperature"", ""Ambient Humidity""]",0.316,0.564,4.69,0.12,0.539,0.462,0.685,98.458,67.3,53,-63337.15,-0.995,0.321,0.561,4.765,0.118,0.558,0.458,0.7,108.94,74,59,-38449.649,-0.966,0.435,0.431,3.225,0.134,0.667,0.536,0.812,142.226,80.3,66,-93941.708,-0.954,0.015,,,,,,,,,,,,1865,06:03:03:43,submitted,,41.31265853,-105.5849798
