OPEN 6.1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mon Mar 14 2022 10:38:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unit=,PSC-2784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCF=,LCF-1196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCFCals=,-2.200000048,-0.340000004,-2922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LightSource=,6400-40 Fluorometer,1,0.159999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Config=,/User/Configs/UserPrefs/LCF.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,18_ACi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obs,HHMMSS,FTime,EBal?,Photo,Cond,Ci,FCnt,DCnt,Fo,Fm,Fo',Fm',Fs,Fv/Fm,Fv'/Fm',PhiPS2,Adark,RedAbs,BlueAbs,%Blue,LeafAbs,PhiCO2,qP,qN,NPQ,ParIn@Fs,PS2/1,ETR,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,fda,Trans,Tair_K,Twall_K,R(W/m2),Tl-Ta,SVTleaf,h2o_i,h20diff,CTair,SVTair,CndTotal,vp_kPa,VpdA,CndCO2,Ci_Pa,Ci/Ca,RHsfc,C2sfc,AHs/Cs,Fv,PARabs,Fv',qP_Fo,qN_Fo
2,11:02:18,1519.000488,0,-3.244547685,0.316962771,64.86734464,2,0,238.0930176,877.7655029,0,467.9489746,266.5949707,0.728750997,1,0.430290512,-5.454408388,0.87,0.92,10.12092686,0.875060463,0.003597047,0.430290512,0.466886118,0.875771827,702.0705566,0.5,132.1753888,8.397920012,2.081083775,23.96476746,0.975000024,6.033878473,1,12.06775695,25.75381088,23.96476746,25.39570808,49.7068367,50.62381744,8.86383152,11.56357193,20.91982651,27.29157448,299.780304,702.0705566,441.9161072,78.48422241,-2.821784973,-0.395961583,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,3.074669709,0.00839792,297.1147675,298.9038109,112.3312866,-0.739206217,2.988641727,38.07952267,26.51595074,24.85928917,3.153100683,0.308850726,0.907557951,2.245542732,0.19374449,5.091063104,1.281360196,30.42199322,50.98677962,-0.019359059,639.6724854,614.3541867,467.9489746,0.876000807,0.640666181
Remark=,"""11:04:49 Fs=274 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:04:49 RF#3 7729 um, Fmax=505 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:04:50 Fm'=505""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,11:04:50,1671.000488,0,0.832675471,0.323691949,90.90403319,3,0,238.0930176,877.7655029,0,505.2475586,274.3759766,0.728750997,1,0.456947447,-5.454408388,0.87,0.92,10.12092686,0.875060463,0.010237063,0.456947447,0.424393466,0.737297861,701.8363037,0.5,140.3169548,8.413804406,2.043362385,23.72594452,0.975000024,6.033878473,1,12.06775695,25.67354584,23.72594452,25.59708786,99.69970703,99.15747833,8.796129227,11.50148201,20.85853004,27.27381516,299.7430725,701.8363037,963.7612305,78.48212433,-2.572570801,-0.394364178,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,3.074287848,0.008413804,296.8759445,298.8235458,112.2938061,-0.736049567,2.946023126,37.53750489,26.03602288,24.69974518,3.123201676,0.315236402,0.902660741,2.220540935,0.197765374,7.134341635,0.916764269,30.75393293,99.06432831,0.002584992,639.6724854,614.1492012,505.2475586,0.864187377,0.582357305
Remark=,"""11:07:21 Fs=294 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:07:21 RF#4 7717 um, Fmax=575 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:07:22 Fm'=575""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,11:07:22,1823.000488,0,8.569483267,0.329423735,147.3662165,4,0,238.0930176,877.7655029,0,575.9020996,294.2993164,0.728750997,1,0.48897683,-5.454408388,0.87,0.92,10.12092686,0.875060463,0.022842616,0.48897683,0.343899826,0.524157497,701.592041,0.5,150.1001068,8.670641718,2.069155912,23.98960686,0.975000024,6.033878473,1,12.06775695,26.50487328,23.98960686,26.56937027,200.7341156,197.389801,8.985319138,11.77260017,20.28527069,26.57784081,299.7312317,701.592041,960.7825317,78.4830246,-2.597198486,-0.404435933,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,3.074166404,0.008670642,297.1396069,299.6548733,112.2547241,-0.750737192,2.993105181,38.13697543,26.36437526,25.24724007,3.226849723,0.320670132,0.923949269,2.302900454,0.201187326,11.5657464,0.746574624,30.98394881,196.4311471,0.013517023,639.6724854,613.9354565,575.9020996,0.833615193,0.47190306
Remark=,"""11:10:01 Fs=314 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:10:01 RF#5 7702 um, Fmax=656 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:10:02 Fm'=656""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,11:10:02,1983.000488,0,15.67865311,0.342158911,208.0807795,5,0,238.0930176,877.7655029,0,656.628418,314.8505859,0.728750997,1,0.520504174,-5.454408388,0.87,0.92,10.12092686,0.875060463,0.034440571,0.520504174,0.251931848,0.336776598,701.2195435,0.5,159.6931525,9.02254854,2.076000333,23.82253838,0.975000024,6.033878473,1,12.06775695,25.25052071,23.82253838,24.81274223,299.9895935,294.0264587,8.402647018,11.30445004,20.43255234,27.48880959,299.7288208,701.2195435,991.6181641,78.48199463,-2.532073975,-0.382637799,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,3.074141677,0.009022549,296.9725384,298.4005207,112.1951244,-0.838342213,2.96319612,37.75638137,26.45193133,24.53652954,3.092871302,0.332725107,0.887195787,2.205675515,0.208780671,16.33059462,0.707694064,30.15891015,292.2725138,0.016178432,639.6724854,613.6094987,656.628418,0.816604358,0.345703606
Remark=,"""11:12:34 Fs=325 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:12:34 RF#6 7699 um, Fmax=708 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:12:35 Fm'=708""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,11:12:35,2136.000488,0,26.57826216,0.350512079,347.7314924,6,0,238.0930176,877.7655029,0,708.1547852,325.2868652,0.728750997,1,0.540655698,-5.454408388,0.87,0.92,10.12092686,0.875060463,0.052226267,0.540655698,0.193230102,0.239510798,700.9161987,0.5,165.8039788,9.404683496,2.113739194,23.94935989,0.975000024,6.033878473,1,12.06775695,26.00237083,23.94935989,25.7899456,500.6578674,490.5123291,8.087189674,11.11223412,18.8079567,25.84314728,299.7533569,700.9161987,1025.45752,78.48438263,-3.144165039,-0.379585087,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,3.074393329,0.009404683,297.0993599,299.1523708,112.1465893,-0.868455673,2.985876028,38.0442061,26.93197199,24.97586536,3.175105275,0.340618694,0.872136834,2.302968441,0.213753973,27.2914915,0.708914887,29.47344503,487.5390629,0.016067491,639.6724854,613.3440537,708.1547852,0.814505553,0.265152436
Remark=,"""11:15:31 Fs=318 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:15:31 RF#7 7699 um, Fmax=722 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:15:32 Fm'=722""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,11:15:32,2313.000488,0,30.0547118,0.354067891,428.4401216,7,0,238.0930176,877.7655029,0,722.6774902,318.6818848,0.728750997,1,0.559026137,-5.454408388,0.87,0.92,10.12092686,0.875060463,0.057881591,0.559026137,0.176685017,0.214601969,701.0700073,0.5,171.4752986,9.364599521,2.084168694,23.89226723,0.975000024,6.033878473,1,12.06775695,25.59438515,23.89226723,25.20140839,601.3239746,589.7515869,8.346674919,11.35812569,19.88744354,27.06276512,299.7485352,701.0700073,1062.324829,78.48817444,-3.250732422,-0.37728864,0.75,-1.355140209,7.355140209,1,0,0.159999996,111115,3.074343875,0.0093646,297.0422672,298.7443851,112.1711987,-0.875503602,2.975647244,37.91204555,26.55391986,24.74332619,3.131344182,0.343975649,0.89147855,2.239865631,0.215869285,33.627483,0.726475572,30.23695196,586.389416,0.0154976,639.6724854,613.4786455,722.6774902,0.833694904,0.242449091
Remark=,"""11:18:08 Fs=313 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:18:08 RF#8 7694 um, Fmax=718 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:18:09 Fm'=718""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,11:18:09,2470.000488,0,35.33486947,0.347591382,588.581862,8,0,238.0930176,877.7655029,0,718.4709473,313.8344727,0.728750997,1,0.563191144,-5.454408388,0.87,0.92,10.12092686,0.875060463,0.06651147,0.563191144,0.181477348,0.221713287,700.8279419,0.5,172.6932219,9.282715971,2.102774843,24.09129524,0.975000024,6.033878473,1,12.06775695,25.90709496,24.09129524,25.59403992,799.1849976,785.3203125,8.591751099,11.57621384,20.09686852,27.07779312,299.748291,700.8279419,404.5990906,78.49404144,-4.064331055,-0.378345311,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,3.074341371,0.009282716,297.2412952,299.057095,112.1324682,-0.860134252,3.011438652,38.36518794,26.7889741,24.9991951,3.179525008,0.337859898,0.908663809,2.2708612,0.212015705,46.20016907,0.749479993,30.3904651,781.3674591,0.013743126,639.6724854,613.2668236,718.4709473,0.842329444,0.24902518
Remark=,"""11:20:48 Fs=308 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:20:48 RF#9 7691 um, Fmax=712 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:20:49 Fm'=712""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,11:20:49,2630.000488,0,38.61095129,0.343829814,763.3321074,9,0,238.0930176,877.7655029,0,712.9523926,308.4179688,0.728750997,1,0.567407345,-5.454408388,0.87,0.92,10.12092686,0.875060463,0.071874112,0.567407345,0.187764397,0.231169868,700.6268311,0.5,173.9361226,8.997085846,2.060035618,23.92493057,0.975000024,6.033878473,1,12.06775695,25.13397217,23.92493057,24.61395836,1000.319397,984.8796997,8.847056389,11.73890018,21.6669426,28.74923134,299.7804871,700.6268311,405.1248779,78.49626923,-4.610473633,-0.375669301,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,3.074671587,0.008997086,297.0749306,298.2839722,112.1002905,-0.842859453,2.981495488,37.98263939,26.24373921,24.52945137,3.09156181,0.334304929,0.921459869,2.170101941,0.209775952,59.91872261,0.775051113,31.10730224,980.5603565,0.01224894,639.6724854,613.0908395,712.9523926,0.851903627,0.257652336
Remark=,"""11:23:27 Fs=306 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:23:27 RF#10 7688 um, Fmax=703 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:23:28 Fm'=703""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,11:23:28,2789.000488,0,41.17752957,0.332001072,982.1734023,10,0,238.0930176,877.7655029,0,703.807373,306.4890137,0.728750997,1,0.564527134,-5.454408388,0.87,0.92,10.12092686,0.875060463,0.07606804,0.564527134,0.198182919,0.247167246,700.5565186,0.5,173.0358403,8.734560287,2.068757919,24.05782127,0.975000024,6.033878473,1,12.06775695,25.53926849,24.05782127,25.20103264,1249.91272,1233.014893,9.124433517,11.93177509,21.8149128,28.52676964,299.7349243,700.5565186,408.0091858,78.49920654,-5.947998047,-0.378648579,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,3.074204277,0.00873456,297.2078213,298.6892685,112.0890405,-0.797064197,3.005392796,38.28564553,26.35387044,24.79854488,3.141687669,0.323111809,0.936634877,2.205052792,0.202725145,77.09983277,0.796562481,31.28277915,1228.40843,0.010486313,639.6724854,613.0293118,703.807373,0.853137454,0.271948745
Remark=,"""11:26:52 Fs=304 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:26:52 RF#11 7693 um, Fmax=704 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:26:53 Fm'=704""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,11:26:53,2994.000488,0,42.93737824,0.327367164,1209.790877,11,0,238.0930176,877.7655029,0,704.9152832,304.2631836,0.728750997,1,0.568369149,-5.454408388,0.87,0.92,10.12092686,0.875060463,0.078930281,0.568369149,0.196920726,0.245207082,700.631958,0.5,174.2322343,8.568961596,2.058329197,23.86410713,0.975000024,6.033878473,1,12.06775695,25.13176346,23.86410713,24.80356216,1500.300049,1482.201416,8.866345406,11.62135696,21.71825409,28.4666996,299.7317505,700.631958,404.8564758,78.50065613,-6.909301758,-0.368707478,0.25,-1.355140209,7.355140209,1,0,0.159999996,111115,3.074171725,0.008568962,297.0141071,298.2817635,112.1011108,-0.782078511,2.970613344,37.84189191,26.22053495,24.4979353,3.085737083,0.318721082,0.912284147,2.173452936,0.199959839,94.96937759,0.816212199,30.8296075,1477.398083,0.008959958,639.6724854,613.0953259,704.9152832,0.858254049,0.270216749
Remark=,"""11:29:37 Fs=298 Msr=3 Mod=0.25 Filter=5 Gain=10""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:29:37 RF#12 7676 um, Fmax=683 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:29:38 Fm'=683""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,11:29:38,3159.000488,0,47.81318259,0.31950868,1656.09444,12,0,238.0930176,877.7655029,0,683.376709,298.5693359,0.728750997,1,0.563096998,-5.454408388,0.87,0.92,10.12092686,0.875060463,0.086933584,0.563096998,0.221458685,0.28445335,700.2246704,0.5,172.5157244,8.320730163,2.046221455,23.90416145,0.975000024,6.033878473,1,12.06775695,25.01659203,23.90416145,24.60919952,1999.298828,1978.392822,9.192486763,11.86676693,22.67232704,29.26816368,299.7606812,700.2246704,416.4586487,78.50109863,-9.946166992,-0.365959942,0.5,-1.355140209,7.355140209,1,0,0.159999996,111115,3.074468449,0.00832073,297.0541615,298.166592,112.0359448,-0.753716086,2.977775696,37.93291748,26.06615055,24.46037674,3.078808128,0.311267492,0.931554241,2.147253887,0.195266188,130.005233,0.837090805,31.34652409,1973.044041,0.007596268,639.6724854,612.7389246,683.376709,0.864184744,0.303888003
13,11:43:05,3969.000488,0,7673.632537,-0.462047889,25514.39891,12,0,238.0930176,877.7655029,0,683.376709,298.5693359,0.728750997,1,0.563096998,-5.454408388,0.87,0.92,10.42472363,0.875212362,12.8150765,0.563096998,0.221458685,0.28445335,700.2246704,0.5,172.5456707,-18.95939637,3.025944567,27.06149864,0.560000002,6.596261689,1,13.19252338,25.18987274,27.06149864,25.0135231,2000.797119,569.2468262,10.72875214,7.212356567,26.18894386,17.60540199,299.7582703,684.6599731,583.039917,78.49907684,-9.946166992,-0.365959942,0,-1.355140209,7.355140209,1,0,0.159999996,111115,5.352826232,-0.018959396,300.2114986,298.3398727,109.5455933,2.634778344,3.5921079,45.75987444,38.54751787,26.12568569,3.39943525,-0.478817746,0.566163332,2.833271917,-0.297707844,2002.85676,44.82132835,10.32885984,-216.0012744,-3.669417004,639.6724854,599.2228721,683.376709,0.864184744,0.303888003
Remark=,"""11:43:57 1_ACi""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:44:14 Launched AutoProg /User/Configs/AutoProgs/Flr A-CiCurve""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:48:37 Fo=99""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:48:37 RF#13 7262 um, Fmax=388 Int=9 Mod=20 Filter=50""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remark=,"""11:48:38 Fm=388""
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
